Site,PFPrA,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnDA,PFDoDA,PFTrDA,PFTeDA,PFHxDA,PFOcDA,PFPrS,PFEtS,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFUdS,PFDoS,PFTrDS,FBSA,FHxSA,FHpSA,FOSA,FDSA,MeFBSA,MeFOSA,EtFOSA,FOSAA,MeFOSAA,EtFOSAA,3:3 Acid,4:3 Acid,5:3 Acid,7:3 Acid,6:2 FTCA,8:2 FTCA,10:2 FTCA,6:2 FTUCA,8:2 FTUCA,10:2 FTUCA,4:2 FTSA,6:2 FTSA,8:2 FTSA,10:2 FTSA,6:6 PFPi,6:8 PFPi,8:8 PFPi,PFHxPA,PFOPA,PFECHS,Gen-X,ADONA,6:2 Cl-PFESA,8:2 Cl-PFESA,PFMPA,PFMBA,"3,6-OPFHpA",PFEESA,PFHxSAm,PFOSAm,PFHxSAmS,PFOSAmS,PFOANO,PFOSNO,PFOAB,PFOSB,5:3 FTB,5:1:2 FTB,6:2 FTAB,Cl-PFOS
Rivi?re ? la Tortue ? Delson,nd,5.02,1.87,1.87,1.19,1.29,0.24,0.05,nd,nd,nd,nd,nd,nd,0.07,nd,0.53,0.06,0.29,nd,0.7,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Batiscan ? Sainte-Genevi?ve-de-Batiscan,nd,5,0.19,0.17,0.26,0.22,0.13,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.05,nd,nd,nd,0.15,nd,nd,0.11,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Bayonne ? Sainte-Genevi?ve-de-Berthier,nd,2.5,1.11,1.49,1.09,1.01,0.61,0.12,0.08,nd,nd,nd,nd,nd,0.05,nd,0.43,0.05,0.29,nd,1.14,nd,nd,0.08,nd,nd,0.08,nd,nd,nd,nd,0.14,nd,nd,nd,nd,0.17,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.06,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re B?cancour ? B?cancour ,nd,1.8,0.7,0.73,0.48,0.68,0.16,0.04,nd,nd,nd,nd,nd,nd,nd,nd,0.17,0.01,0.08,nd,0.31,nd,nd,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Boyer ? Saint-Vallier,nd,2.18,0.48,0.46,0.37,0.51,0.11,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.2,0.01,0.04,nd,0.32,nd,nd,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Ch?teauguay ? Ch?teauguay,nd,2.74,0.71,0.74,0.62,0.86,0.18,0.04,nd,nd,nd,nd,nd,nd,0.05,nd,0.41,0.04,0.15,nd,0.5,nd,nd,0.1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Chaudi?re ? L?vis,nd,1.94,0.84,1,0.98,0.82,0.26,0.06,nd,nd,nd,nd,nd,nd,nd,nd,0.17,0.02,0.06,nd,0.31,nd,nd,0.11,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Des Mille-Iles ? Laval,nd,1.78,1.34,1.11,0.98,0.63,0.27,0.06,nd,nd,nd,nd,nd,nd,nd,nd,0.21,0.05,0.43,nd,1.08,nd,nd,0.1,nd,nd,0.03,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.06,0.42,nd,nd
Rivi?re Des Prairies ? Montr?al,nd,1.84,0.46,0.53,0.53,0.53,0.23,0.05,nd,nd,nd,nd,nd,nd,nd,nd,0.16,0.01,0.1,nd,0.32,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Du Ch?ne ? Saint-Eustache,nd,9.11,24.39,38.24,9.34,4.13,0.46,0.08,nd,nd,nd,nd,nd,nd,0.76,nd,1.87,2.24,17.36,0.52,27.87,nd,nd,0.1,nd,nd,0.45,6.42,0.05,0.06,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.14,nd,nd,nd,nd,nd,nd,nd,0.3,nd,nd,nd,nd,nd,nd,nd,nd,0.55,nd,0.46,nd,nd,nd,nd,nd,5.35,24.82,1.03,nd
Rivi?re Du Loup ? Louiseville,nd,1.85,0.4,0.58,0.31,0.32,0.23,0.04,nd,nd,nd,nd,nd,nd,nd,nd,0.1,nd,0.04,nd,0.21,nd,nd,0.1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
